Emitent;Ticker
"""Сбербанк России"", ао";SBER
Газпром, ао;GAZP
Сургутнефтегаз, ап;SNGSP
Лукойл, ао;LKOH
НоваТЭК, ао;NVTK
АЛРОСА-Нюрба, ао;ALRS
Роснефть, ао;ROSN
"ГМК ""Норильский никель"", ао";GMKN
Банк ВТБ, ао;VTBR
Магнит, ао;MGNT
Северсталь, ао;CHMF
Сургутнефтегаз, ао;SNGS
Федеральная гидрогенерирующая компания РусГидро, ао;HYDR
Татнефть им. В. Д. Шашина, ао;TATN
ИНТЕР РАО ЕЭС, ао;IRAO
Федеральная сетевая компания Единой энергетической системы, ао;FEES
Магнитогорский металлургический комбинат, ао;MAGN
Транснефть, ап;TRNFP
Мобильные ТелеСистемы, ао;MTSS
Распадская, ао;RASP
Новолипецкий металлургический комбинат, ао;NLMK
"""Сбербанк России"", ап";SBERP
Аэрофлот-российские авиалинии, ао;AFLT
Уралкалий, ао;URKA
"АФК ""Система"", ао";AFKS
Ростелеком, ао;RTKM
Мечел, ао;MTLR
Трубная металлургическая компания, ао;TRMK
Башнефть АНК, ао;BANE
Соллерс, ао;SVAV
МосЭнерго, ао;MSNG
Новороссийский морской торговый порт, ао;NMTP
Мечел, ап;MTLRP
ОГК-2, ао;OGKB
Газпром нефть, ао;SIBN
Дикси Групп, ао;DIXY
Татнефть им. В. Д. Шашина, ап;TATNP
М.Видео Компания, ао;MVID
Башнефть АНК, ап;BANEP
Полюс Золото, ао;PLZL
Протек, ао;PRTK
ПИК Группа компаний, ао;PIKK
АвтоВАЗ, ап;AVAZP
Ростелеком, ап;RTKMP
ФосАгро, ао;PHOR
Мостотрест, ао;MSTT
Промсвязьбанк, ао;PSBR
Ленэнерго, ап;LSNGP
Дагестанская энергосбытовая компания, ао;DASB
Акрон, ао;AKRN
Акционерный коммерческий банк МОСКОВСКИЙ ОБЛАСТНОЙ БАНК, ао;MOBB
Московская объединенная электросетевая компания, ао;MSRS
Камчатскэнерго, ао;KCHE
Аптечная сеть 36,6, ао;APTK
Камчатскэнерго, ап;KCHEP
Дальневосточная энергетическая компания, ао;DVEC
Абрау – Дюрсо, ао;ABRD
МРСК Центра, ао;MRKC
Квадра, ао;TGKD
ТГК-2, ао;TGKB
Якутскэнерго, ап;YKENP
ТГК-1, ао;TGKA
АвтоВАЗ, ао;AVAZ
МРСК Волги, ао;MRKV
Объединенная авиастроительная корпорация, ао;UNAC
Нижнекамскнефтехим, ап;NKNCP
Группа Черкизово, ао;GCHE
Иркутскэнерго, ао;IRGZ
МРСК Центра и Приволжья, ао;MRKP
"Банк ""Санкт-Петербург"", ао";BSPB
Квадра, ап;TGKDP
Группа ЛСР, ао;LSRG
РБК, ао;RBCM
Корпорация ВСМПО-АВИСМА, ао;VSMO
Ленэнерго, ао;LSNG
Нижнекамскнефтехим, ао;NKNC
ТрансКонтейнер, ао;TRCN
АЛРОСА-Нюрба, ао;ALNU
"Корпорация ""ИРКУТ"", ао";IRKT
КАМАЗ, ао;KMAZ
УРАЛСИБ, ао;USBN
Дальневосточное морское пароходство, ао;FESH
Белон, ао;BLNG
Саратовэнерго, ао;SARE
Мордовская энергосбытовая компания, ао;MRSB
Челябэнергосбыт, ап;CLSBP
"Группа ""Разгуляй"", ао";GRAZ
Челябэнергосбыт, ао;CLSB
Якутскэнерго, ао;YKEN
УК Арсагера, ао;ARSA
Кузбасская топливная компания, ао;KBTK
Лензолото, ап;LNZLP
Плазмек, ао;PLSM
КуйбышевАзот, ао;KAZT
Челябинский цинковый завод, ао;CHZN
Селигдар, ао;SELG
Центральный Телеграф, ао;CNTL
О2ТВ, ао;ODVA
Звезда, ао;ZVEZ
Селигдар, ап;SELGP
ТГК-2, ап;TGKBP
МРСК Юга, ао;MRKY
Саратовэнерго, ап;SAREP
МРСК Урала, ао;MRKU
Челябинский завод профилированного стального настила, ао;PRFN
ГлавТоргПродукт, ао;GTPR
Ставропольэнергосбыт, ап;STSBP
Нефтекамский автозавод, ао;NFAZ
Томская распределительная компания, ап;TORSP
Саратовский НПЗ, ап;KRKNP
Челябинский металлургический комбинат, ао;CHMK
Химпром, ап;HIMCP
Волжская ТГК, ао;VTGK
МРСК Северного Кавказа, ао;MRKK
Кубаньэнерго, ао;KUBE
Ставропольэнергосбыт, ао;STSB
Тамбовская энергосбытовая компания, ао;TASB
Русгрэйн Холдинг, ао;RUGR
МГТС, ап;MGTSP
Казаньоргсинтез, ао;KZOS
Пермская энергосбытовая компания, ап;PMSBP
ТГК-14, ао;TGKN
Центр международной торговли, ап;WTCMP
Нижнекамскшина, ао;NKSH
Росбанк, ао;ROSB
Диод, ао;DIOD
Славнефть-ЯНОС, ап;JNOSP
"Банк ""Кузнецкий"", ао";KUZB
Дорогобуж, ао;DGBZ
Якутская толивно-энергетическая компания, ао;YAKG
РКК Энергия им. Королева, ао;RKKE
Синергия, ао;SYNG
Завод имени И. А. Лихачева, ао;ZILL
Самараэнерго, ап;SAGOP
Фармсинтез, ао;LIFE
Воронежская энергосбытовая компания, ао;VRSB
"Авиакомпания ""ЮТэйр"", ао";UTAR
ВторРесурсы, ао;VTRS
Фармстандарт, ао;PHST
Центральный Телеграф, ап;CNTLP
Челябинский трубопрокатный завод, ао;CHEP
КуйбышевАзот, ап;KAZTP
Ижсталь, ао;IGST
Казаньоргсинтез, ап;KZOSP
Воронежская энергосбытовая компания, ап;VRSBP
Росинтер ресторантс холдинг, ао;ROST
Выборгский судостроительный завод, ап;VSYDP
МРСК Северо-Запада, ао;MRKZ
Калужская сбытовая компания, ао;KLSB
Челябинский кузнечно-прессовый завод, ао;CHKZ
Тучковский комбинат строительных материалов, ао;TUCH
Институт стволовых клеток человека, ао;ISKJ
Ростовоблгаз, ао;RTGZ
Ашинский металлургический завод, ао;AMEZ
Красный Октябрь, ао;KROT
Лензолото, ао;LNZL
Красный Октябрь, ап;KROTP
Туймазинский завод автобетоновозов, ао;TUZA
"Банк ""Возрождение"", ап";VZRZP
Заволжский моторный завод, ап;ZMZNP
Волгоградская энергосбытовая компания, ао;VGSB
Курганская генерирующая компания, ао;KGKC
Ковровский механический завод, ао;KMEZ
Славнефть-Мегионнефтегаз, ао;MFGS
Магаданэнерго, ап;MAGEP
Пермская энергосбытовая компания, ао;PMSB
Селестра, ао;SELL
Томская распределительная компания, ао;TORS
Красноярскэнергосбыт, ап;KRSBP
Электроцинк, ао;ELTZ
Рязанская энергосбытовая компания, ао;RZSB
МГТС, ао;MGTS
Энергосбыт Ростовэнерго, ап;RTSBP
Уральская кузница, ао;URKZ
"НПО ""Наука"", ао";NAUK
Мурманская ТЭЦ, ап;MUGSP
ОПИН, ао;OPIN
Красноярскэнергосбыт, ао;KRSB
Красный котельщик Таганрогский котлостроительный завод, ап;KRKOP
Бурятзолото, ао;BRZL
Энергосбыт Ростовэнерго, ао;RTSB
ГАЗ, ао;GAZA
Соликамский магниевый завод, ао;MGNZ
Донской завод радиодеталей, ао;DZRD
Приморское морское пароходство, ао;PRIM
Русполимет, ао;RUSP
Морион, ао;MORI
Донской завод радиодеталей, ап;DZRDP
Курганская генерирующая компания, ап;KGKCP
Варьеганнефтегаз, ап;VJGZP
МРСК Сибири, ао;MRKS
Таттелеком, ао;TTLK
Владимирэнергосбыт, ао;VDSB
Славнефть-ЯНОС, ао;JNOS
Заволжский моторный завод, ао;ZMZN
Тантал, ао;TANL
"Угольная компания ""Южный Кузбасс"", ао";UKUZ
Красноярская ГЭС, ао;KRSG
Центр международной торговли, ао;WTCM
Южно-Уральский никелевый комбинат, ао;UNKL
Астраханская энергосбытовая компания, ао;ASSB
